page_id,Name,link,ID,Align,Eye,Hair,Sex,GSM,Alive,Appearance,First Appearance_old,YEAR,Citizenship,date,month,year,First Appearance
1422,Batman (Bruce Wayne),https://dc.fandom.com/wiki/Batman_(Bruce_Wayne),Secret Identity,Good ,Blue ,Black ,Male ,,Living ,3093,"1939, May",1939.0,American,1939-05-01,05,1939,05/1939
23387,Superman (Clark Kent),https://dc.fandom.com/wiki/Superman_(Clark_Kent),Secret Identity,Good ,Blue ,Black ,Male ,,Living ,2496,"1986, October",1986.0,American,1986-10-01,10,1986,10/1986
1458,Green Lantern (Hal Jordan),https://dc.fandom.com/wiki/Green_Lantern_(Hal_Jordan),Secret Identity,Good ,Brown ,Brown ,Male ,,Living ,1565,"1959, October",1959.0,American,1959-10-01,10,1959,10/1959
1659,James Gordon (New Earth),https://dc.fandom.com/wiki/James_Gordon_(New_Earth),Public Identity,Good ,Brown ,White ,Male ,,Living ,1316,"1987, February",1987.0,American,1987-02-01,02,1987,02/1987
1576,Richard Grayson (New Earth),https://dc.fandom.com/wiki/Richard_Grayson_(New_Earth),Secret Identity,Good ,Blue ,Black ,Male ,,Living ,1237,"1940, April",1940.0,American,1940-04-01,04,1940,04/1940
1448,Wonder Woman (Diana Prince),https://dc.fandom.com/wiki/Wonder_Woman_(Diana_Prince),Public Identity,Good ,Blue ,Black ,Female ,,Living ,1231,"1941, December",1941.0,Amazon,1941-12-01,12,1941,12/1941
1486,Aquaman (Arthur Curry),https://dc.fandom.com/wiki/Aquaman_(Arthur_Curry),Public Identity,Good ,Blue ,Blond ,Male ,,Living ,1121,"1941, November",1941.0,American · Atlantean,1941-11-01,11,1941,11/1941
1451,Timothy Drake (New Earth),https://dc.fandom.com/wiki/Timothy_Drake_(New_Earth),Secret Identity,Good ,Blue ,Black ,Male ,,Living ,1095,"1989, August",1989.0,American,1989-08-01,08,1989,08/1989
71760,Dinah Laurel Lance (New Earth),https://dc.fandom.com/wiki/Dinah_Laurel_Lance_(New_Earth),Public Identity,Good ,Blue ,Blond ,Female ,,Living ,1075,"1969, November",1969.0,American,1969-11-01,11,1969,11/1969
1380,Flash (Barry Allen),https://dc.fandom.com/wiki/Flash_(Barry_Allen),Secret Identity,Good ,Blue ,Blond ,Male ,,Living ,1028,"1956, October",1956.0,American,1956-10-01,10,1956,10/1956
403631,GenderTest,https://dc.fandom.com/wiki/GenderTest,Secret Identity,Good ,Blue ,Blond ,Female ,,Living ,1028,"1956, October",1956.0,,1956-10-01,10,1956,10/1956
1459,Alan Scott (New Earth),https://dc.fandom.com/wiki/Alan_Scott_(New_Earth),Secret Identity,Good ,Blue ,Blond ,Male ,,Deceased ,969,"1940, July",1940.0,American,1940-07-01,07,1940,07/1940
1905,Barbara Gordon (New Earth),https://dc.fandom.com/wiki/Barbara_Gordon_(New_Earth),Secret Identity,Good ,Blue ,Red ,Female ,,Living ,951,"1967, January",1967.0,American,1967-01-01,01,1967,01/1967
1386,Jason Garrick (New Earth),https://dc.fandom.com/wiki/Jason_Garrick_(New_Earth),Public Identity,Good ,Blue ,Brown ,Male ,,Living ,951,"1940, January",1940.0,American,1940-01-01,01,1940,01/1940
23383,Lois Lane (New Earth),https://dc.fandom.com/wiki/Lois_Lane_(New_Earth),Public Identity,Good ,Blue ,Black ,Female ,,Living ,934,"1938, June",1938.0,German · American,1938-06-01,06,1938,06/1938
1456,Alfred Pennyworth (New Earth),https://dc.fandom.com/wiki/Alfred_Pennyworth_(New_Earth),Public Identity,Good ,Blue ,Black ,Male ,,Living ,930,"1943, April",1943.0,British,1943-04-01,04,1943,04/1943
1849,Carter Hall (New Earth),https://dc.fandom.com/wiki/Carter_Hall_(New_Earth),Secret Identity,Good ,Blue ,Brown ,Male ,,Living ,803,"1940, January",1940.0,American,1940-01-01,01,1940,01/1940
4320,Kyle Rayner (New Earth),https://dc.fandom.com/wiki/Kyle_Rayner_(New_Earth),Secret Identity,Good ,Green ,Black ,Male ,,Living ,716,"1994, January",1994.0,American,1994-01-01,01,1994,01/1994
1706,Raymond Palmer (New Earth),https://dc.fandom.com/wiki/Raymond_Palmer_(New_Earth),Public Identity,Good ,Brown ,,Male ,,Living ,706,"1961, October",1961.0,American,1961-10-01,10,1961,10/1961
1480,Alexander Luthor (New Earth),https://dc.fandom.com/wiki/Alexander_Luthor_(New_Earth),Public Identity,Bad ,Green ,,Male ,,Living ,677,"1986, October",1986.0,American,1986-10-01,10,1986,10/1986
1556,Roy Harper (New Earth),https://dc.fandom.com/wiki/Roy_Harper_(New_Earth),Secret Identity,Neutral ,Green ,Red ,Male ,,Living ,654,"1941, November",1941.0,American,1941-11-01,11,1941,11/1941
1580,Kara Zor-L (Earth-Two),https://dc.fandom.com/wiki/Kara_Zor-L_(Earth-Two),Secret Identity,Good ,Blue ,Blond ,Female ,,Living ,635,"1976, February",1976.0,American,1976-02-01,02,1976,02/1976
4849,Ted Grant (New Earth),https://dc.fandom.com/wiki/Ted_Grant_(New_Earth),Secret Identity,,Blue ,Black ,Male ,,Living ,605,"1942, January",1942.0,American,1942-01-01,01,1942,01/1942
1611,Garfield Logan (New Earth),https://dc.fandom.com/wiki/Garfield_Logan_(New_Earth),Public Identity,Good ,Green ,Green ,Male ,,Living ,595,"1965, November",1965.0,American,1965-11-01,11,1965,11/1965
1479,Guy Gardner (New Earth),https://dc.fandom.com/wiki/Guy_Gardner_(New_Earth),Public Identity,Good ,Blue ,Red ,Male ,,Living ,593,"1968, March",1968.0,American,1968-03-01,03,1968,03/1968
